"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A5",7,"RPL3_e9e10",1.1719,9e-04,"297","40","1"
"A5",8,"RPL3_e9e10",1.1768,-0.0016,"297","40","1"
"A5",9,"RPL3_e9e10",1.1906,0.0049,"297","40","1"
"A5",10,"RPL3_e9e10",1.2068,0.0136,"297","40","1"
"A5",11,"RPL3_e9e10",1.2288,0.0282,"297","40","1"
"A5",12,"RPL3_e9e10",1.2721,0.0641,"297","40","1"
"A5",13,"RPL3_e9e10",1.3614,0.146,"297","40","1"
"A5",14,"RPL3_e9e10",1.5294,0.3066,"297","40","1"
"A5",15,"RPL3_e9e10",1.8327,0.6025,"297","40","1"
"A5",16,"RPL3_e9e10",2.3504,1.1128,"297","40","1"
"A5",17,"RPL3_e9e10",3.0736,1.8286,"297","40","1"
"A5",18,"RPL3_e9e10",3.9103,2.6579,"297","40","1"
"A5",19,"RPL3_e9e10",4.7706,3.5108,"297","40","1"
"A5",20,"RPL3_e9e10",5.6327,4.3655,"297","40","1"
"A5",21,"RPL3_e9e10",6.507,5.2324,"297","40","1"
"A5",22,"RPL3_e9e10",7.3326,6.0506,"297","40","1"
"A5",23,"RPL3_e9e10",8.1205,6.8311,"297","40","1"
"A5",24,"RPL3_e9e10",8.8089,7.5121,"297","40","1"
"A5",25,"RPL3_e9e10",9.4371,8.1329,"297","40","1"
"A5",26,"RPL3_e9e10",10.0151,8.7034,"297","40","1"
"A5",27,"RPL3_e9e10",10.5433,9.2243,"297","40","1"
"A5",28,"RPL3_e9e10",11.021,9.6945,"297","40","1"
"A5",29,"RPL3_e9e10",11.4598,10.126,"297","40","1"
"A5",30,"RPL3_e9e10",11.8802,10.5389,"297","40","1"
"A5",31,"RPL3_e9e10",12.1766,10.8279,"297","40","1"
"A5",32,"RPL3_e9e10",12.5477,11.1917,"297","40","1"
"A5",33,"RPL3_e9e10",12.8534,11.4899,"297","40","1"
"A5",34,"RPL3_e9e10",13.1084,11.7375,"297","40","1"
"A5",35,"RPL3_e9e10",13.3738,11.9955,"297","40","1"
"A5",36,"RPL3_e9e10",13.5892,12.2035,"297","40","1"
"A5",37,"RPL3_e9e10",13.793,12.3999,"297","40","1"
"A5",38,"RPL3_e9e10",14.0478,12.6473,"297","40","1"
"A5",39,"RPL3_e9e10",14.2131,12.8052,"297","40","1"
"A5",40,"RPL3_e9e10",14.3988,12.9835,"297","40","1"
"A6",1,"RPL3_e9e10",1.2315,-0.0017,"297","40","2"
"A6",2,"RPL3_e9e10",1.2454,9e-04,"297","40","2"
"A6",3,"RPL3_e9e10",1.2556,-3e-04,"297","40","2"
"A6",4,"RPL3_e9e10",1.2667,-5e-04,"297","40","2"
"A6",5,"RPL3_e9e10",1.2802,0.0017,"297","40","2"
"A6",6,"RPL3_e9e10",1.2888,-0.001,"297","40","2"
"A6",7,"RPL3_e9e10",1.2951,-0.006,"297","40","2"
"A6",8,"RPL3_e9e10",1.3099,-0.0026,"297","40","2"
"A6",9,"RPL3_e9e10",1.3251,0.0013,"297","40","2"
"A6",10,"RPL3_e9e10",1.3474,0.0123,"297","40","2"
"A6",11,"RPL3_e9e10",1.3821,0.0358,"297","40","2"
"A6",12,"RPL3_e9e10",1.4459,0.0882,"297","40","2"
"A6",13,"RPL3_e9e10",1.5683,0.1993,"297","40","2"
"A6",14,"RPL3_e9e10",1.7857,0.4054,"297","40","2"
"A6",15,"RPL3_e9e10",2.156,0.7644,"297","40","2"
"A6",16,"RPL3_e9e10",2.6661,1.2632,"297","40","2"
"A6",17,"RPL3_e9e10",3.2714,1.8572,"297","40","2"
"A6",18,"RPL3_e9e10",3.9058,2.4802,"297","40","2"
"A6",19,"RPL3_e9e10",4.5607,3.1238,"297","40","2"
"A6",20,"RPL3_e9e10",5.2152,3.767,"297","40","2"
"A6",21,"RPL3_e9e10",5.8924,4.4329,"297","40","2"
"A6",22,"RPL3_e9e10",6.5336,5.0628,"297","40","2"
"A6",23,"RPL3_e9e10",7.1319,5.6498,"297","40","2"
"A6",24,"RPL3_e9e10",7.6946,6.2012,"297","40","2"
"A6",25,"RPL3_e9e10",8.2167,6.712,"297","40","2"
"A6",26,"RPL3_e9e10",8.7307,7.2147,"297","40","2"
"A6",27,"RPL3_e9e10",9.1422,7.6148,"297","40","2"
"A6",28,"RPL3_e9e10",9.5242,7.9856,"297","40","2"
"A6",29,"RPL3_e9e10",9.9344,8.3844,"297","40","2"
"A6",30,"RPL3_e9e10",10.2761,8.7148,"297","40","2"
"A6",31,"RPL3_e9e10",10.5905,9.0179,"297","40","2"
"A6",32,"RPL3_e9e10",10.8934,9.3095,"297","40","2"
"A6",33,"RPL3_e9e10",11.1633,9.5681,"297","40","2"
"A6",34,"RPL3_e9e10",11.3829,9.7763,"297","40","2"
"A6",35,"RPL3_e9e10",11.6189,10.0011,"297","40","2"
"A6",36,"RPL3_e9e10",11.8385,10.2093,"297","40","2"
"A6",37,"RPL3_e9e10",12.0496,10.4091,"297","40","2"
"A6",38,"RPL3_e9e10",12.2415,10.5897,"297","40","2"
"A6",39,"RPL3_e9e10",12.4166,10.7535,"297","40","2"
"A6",40,"RPL3_e9e10",12.609,10.9346,"297","40","2"
"A7",1,"RPL3_e9e10",1.1731,-0.0069,"297","120","1"
"A7",2,"RPL3_e9e10",1.182,-0.0057,"297","120","1"
"A7",3,"RPL3_e9e10",1.1935,-0.0018,"297","120","1"
"A7",4,"RPL3_e9e10",1.2062,0.0033,"297","120","1"
"A7",5,"RPL3_e9e10",1.211,4e-04,"297","120","1"
"A7",6,"RPL3_e9e10",1.215,-0.0032,"297","120","1"
"A7",7,"RPL3_e9e10",1.2273,0.0014,"297","120","1"
"A7",8,"RPL3_e9e10",1.2335,0,"297","120","1"
"A7",9,"RPL3_e9e10",1.248,0.0068,"297","120","1"
"A7",10,"RPL3_e9e10",1.266,0.0172,"297","120","1"
"A7",11,"RPL3_e9e10",1.2933,0.0369,"297","120","1"
"A7",12,"RPL3_e9e10",1.3505,0.0865,"297","120","1"
"A7",13,"RPL3_e9e10",1.4455,0.1738,"297","120","1"
"A7",14,"RPL3_e9e10",1.6304,0.351,"297","120","1"
"A7",15,"RPL3_e9e10",1.9741,0.6871,"297","120","1"
"A7",16,"RPL3_e9e10",2.5272,1.2326,"297","120","1"
"A7",17,"RPL3_e9e10",3.2644,1.9621,"297","120","1"
"A7",18,"RPL3_e9e10",4.0739,2.764,"297","120","1"
"A7",19,"RPL3_e9e10",4.9127,3.5951,"297","120","1"
"A7",20,"RPL3_e9e10",5.7513,4.4261,"297","120","1"
"A7",21,"RPL3_e9e10",6.625,5.2922,"297","120","1"
"A7",22,"RPL3_e9e10",7.4412,6.1007,"297","120","1"
"A7",23,"RPL3_e9e10",8.2289,6.8808,"297","120","1"
"A7",24,"RPL3_e9e10",8.9367,7.5809,"297","120","1"
"A7",25,"RPL3_e9e10",9.6013,8.2379,"297","120","1"
"A7",26,"RPL3_e9e10",10.2493,8.8782,"297","120","1"
"A7",27,"RPL3_e9e10",10.8109,9.4323,"297","120","1"
"A7",28,"RPL3_e9e10",11.2656,9.8793,"297","120","1"
"A7",29,"RPL3_e9e10",11.7386,10.3446,"297","120","1"
"A7",30,"RPL3_e9e10",12.1493,10.7478,"297","120","1"
"A7",31,"RPL3_e9e10",12.541,11.1317,"297","120","1"
"A7",32,"RPL3_e9e10",12.9134,11.4966,"297","120","1"
"A7",33,"RPL3_e9e10",13.2527,11.8282,"297","120","1"
"A7",34,"RPL3_e9e10",13.5083,12.0761,"297","120","1"
"A7",35,"RPL3_e9e10",13.7752,12.3355,"297","120","1"
"A7",36,"RPL3_e9e10",14.0179,12.5704,"297","120","1"
"A7",37,"RPL3_e9e10",14.3011,12.8461,"297","120","1"
"A7",38,"RPL3_e9e10",14.5337,13.071,"297","120","1"
"A7",39,"RPL3_e9e10",14.7089,13.2386,"297","120","1"
"A7",40,"RPL3_e9e10",14.918,13.44,"297","120","1"
"A8",1,"RPL3_e9e10",1.1669,-0.0037,"297","120","2"
"A8",2,"RPL3_e9e10",1.1801,7e-04,"297","120","2"
"A8",3,"RPL3_e9e10",1.187,-0.001,"297","120","2"
"A8",4,"RPL3_e9e10",1.1981,0.0013,"297","120","2"
"A8",5,"RPL3_e9e10",1.2057,3e-04,"297","120","2"
